teamname1,teamname2,kills1,kills2,baronkills1,baronkills2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,scheduleid
CST,P1,9,21,0,1,21,9,0,4,44576,59569,19,35,3,8,431
SK,ROC,7,3,2,0,3,7,3,2,77479,63830,16,6,11,3,697
ROX,CJE,23,25,2,2,26,23,5,2,94402,95320,43,56,8,7,907
EG,C9,6,19,0,0,19,6,1,3,43656,56492,11,56,6,9,146
DIG,GV,3,13,0,2,14,4,2,3,54306,70602,7,34,2,11,432
SK,ROC,18,12,1,0,12,18,3,2,67620,56203,52,30,9,5,697
ROX,CJE,16,15,1,0,15,16,3,3,76619,69467,44,29,9,3,907
CST,TL,7,21,0,2,21,7,1,3,50061,65543,19,56,1,10,433
SK,ROC,11,7,0,0,7,11,3,1,59775,49478,32,16,10,4,697
MIL,MYM,6,14,0,1,14,6,2,3,60369,73023,16,42,4,10,698
P1,WFX,16,15,2,0,15,16,4,1,70928,59453,39,31,9,4,435
JAG,IMiracle,16,4,1,0,4,16,4,0,64653,50724,47,13,9,3,908
JAG,IMiracle,21,6,2,0,6,21,4,1,79937,64662,51,15,9,3,908
T8,C9,22,18,1,1,18,22,2,4,80148,77361,59,57,8,7,436
GV,C9,12,17,0,1,17,12,2,3,68552,76842,27,34,6,8,437
MIL,MYM,5,19,0,1,19,5,2,2,45476,62254,13,49,3,9,698
WFX,TL,22,8,1,0,9,22,3,1,63032,51507,66,16,8,2,439
S04,FNC,11,27,0,1,27,11,2,1,51731,67426,25,72,3,11,699
KT,ROX,16,5,2,0,5,16,5,0,76570,65298,50,12,10,4,909
GIA,MYM,14,5,1,0,5,14,3,0,50432,38935,22,7,9,3,700
KT,ROX,21,6,2,0,6,21,4,1,78148,60479,61,17,10,2,909
CLG,CST,17,9,1,0,9,17,1,2,62673,50050,38,18,8,2,149
T8,CLG,10,19,0,0,19,10,1,3,50254,58051,20,53,4,8,440
C9,XDG,18,3,1,0,3,18,3,0,54749,37864,52,7,10,3,151
CW,H2K,18,12,1,0,12,18,4,2,80464,71496,53,32,9,6,701
CRS,DIG,19,13,1,0,13,19,2,3,69686,62552,43,25,8,3,154
SK,ROC,16,4,2,0,4,16,4,1,68544,51386,44,6,9,2,702
CLG,EG,19,6,1,0,6,19,1,2,56431,41367,47,13,9,1,155
C9,CST,17,4,1,0,4,17,3,1,64308,47029,48,9,10,3,157
GMB,UOL,7,18,0,0,18,7,0,3,36489,48932,14,46,2,9,703
XDG,DIG,21,9,2,0,9,21,4,3,86569,72452,58,11,9,5,158
MYM,SK,9,10,0,0,10,9,0,5,54673,62133,18,24,4,8,704
CLG,C9,28,7,1,0,7,28,4,0,68201,47736,64,14,8,3,159
GIA,CW,18,5,1,1,5,19,4,1,66039,51794,34,12,9,1,705
ROC,GMB,19,13,1,1,13,20,3,2,76114,65018,46,30,9,7,706
EG,CRS,33,21,0,0,21,33,2,2,70606,56394,89,48,9,2,160
FNC,H2K,21,6,1,0,6,21,3,0,63805,46995,56,13,11,3,707
CST,XDG,24,14,2,0,14,24,3,1,74683,57801,33,29,11,3,161
UOL,S04,6,14,0,2,14,6,1,3,46398,59426,12,27,5,11,708
XDG,CRS,8,19,0,1,19,8,2,2,61453,72919,21,40,5,9,163
C9,DIG,24,7,1,0,7,24,2,2,60578,45028,41,13,9,3,164
EG,CST,9,18,0,4,18,9,2,3,76343,93642,21,32,8,11,165
H2K,MYM,18,7,0,0,7,18,3,0,54456,39706,47,14,9,1,709
DIG,EG,2,18,0,1,18,2,0,3,38067,58937,3,28,1,11,167
UOL,GIA,24,5,1,0,5,24,3,0,58914,38462,61,8,11,0,710
CLG,P1,10,20,0,1,20,10,1,4,48570,61157,27,36,2,11,443
FNC,ROC,17,14,3,1,15,17,2,4,87645,79121,48,31,9,6,711
SK,GMB,15,5,2,0,5,15,4,0,71598,50056,39,12,9,2,712
KDM,IMiracle,20,2,0,1,2,20,1,2,58497,42267,51,6,11,1,911
KDM,IMiracle,16,6,1,1,6,16,4,1,68147,56390,39,18,10,3,911
CRS,C9,9,18,0,2,18,9,1,4,50370,67514,21,45,2,8,169
CLG,XDG,20,4,1,0,4,20,1,1,45532,30433,43,7,7,1,170
C9,TSM,15,10,1,0,10,15,0,5,69895,68810,52,23,8,7,1960
C9,EG,22,6,1,0,6,22,2,1,59018,40898,64,14,8,1,171
SKT,JAG,14,11,1,0,11,14,5,1,73450,64401,39,21,11,5,912
CST,CLG,3,14,0,1,14,3,0,4,43025,62110,2,38,3,8,173
TDK,TL,10,23,0,3,23,10,1,4,64660,81043,25,51,3,11,1961
SKT,JAG,21,18,2,0,18,21,2,3,78543,63957,54,47,11,3,912
S04,CW,19,10,1,0,10,19,1,3,66798,52157,42,14,10,4,713
XDG,C9,22,18,2,1,18,22,3,4,89673,78323,47,30,11,5,175
CLG,DIG,16,3,1,0,3,16,2,1,56835,40643,45,8,10,0,1962
ROX,KDM,13,4,1,0,4,14,3,0,48364,32868,39,9,10,0,913
CLG,CRS,13,10,0,2,10,13,4,2,85029,76411,40,29,10,7,176
GMB,FNC,16,26,0,2,26,17,2,3,65229,78535,33,54,5,11,714
T8,P1,8,22,0,2,22,8,1,3,45248,67214,18,69,2,9,1963
GV,T8,21,4,1,0,5,21,5,0,63906,47485,48,9,10,3,445
ROX,KDM,19,6,1,0,6,19,3,0,50213,33729,41,6,9,2,913
CST,EG,18,4,1,0,4,18,2,2,57685,42135,45,3,10,3,178
