scheduleid,name_1,name_2,name_1_win,name_2_win,name_1_country,name_2_country
1555,nM,TTD,1,0,EU,EU
1496,OP,TG,0,1,US,US
1509,Eternity Gaming,T4N,0,1,EU,EU
1513,SGC,inFerno eSports,1,0,EU,EU
1542,SGC,mYinsanity,1,0,EU,EU
1490,MG,TBD,0,1,US,
1517,PS,Salade Tomate Oignon,1,0,EU,EU
1516,PS,Revolt Gentlemen E-Sports Club,1,0,EU,EU
1537,TFS,SBC,0,1,EU,EU
1535,TFS,Team Champions.lt,1,0,EU,EU
1548,CSG,SBC,2,1,EU,EU
1536,Atrox Gaming,SBC,0,1,EU,EU
1557,nM,SMW,0,1,EU,EU
1556,SMW,MBJ,1,0,EU,EU
2317,CLB,MAG,2,0,US,US
2312,AG,MAG,0,2,US,US
2311,CLB,MAG,0,2,US,EU
1515,GNW,Salade Tomate Oignon,0,1,EU,EU
1563,CN,LBS,0,1,EU,EU
1561,Team Profile,CN,0,1,EU,EU
1590,CN,MYR,1,0,EU,EU
1592,CN,KP,1,0,EU,EU
1518,EUO,Test Your Limits 2,1,0,EU,EU
1565,TPL,SKP,0,1,EU,EU
1591,KP,BB,1,0,EU,EU
1580,4EZ,TRC,1,0,EU,EU
1578,4EZ,DAC,1,0,EU,EU
2354,BZ,CK,1,2,EU,EU
1567,ESB,KP,0,1,EU,EU
1532,WF,PTS,0,1,EU,EU
1581,INV,RFS,1,0,EU,EU
1585,TBS,313,1,0,EU,EU
1587,IMX,MER,0,1,EU,EU
1534,PTS,CSG,0,1,EU,EU
1533,CSG,HeadShotBG,1,0,EU,EU
2334,TBS,CF,2,0,EU,EU
1586,PD,TBS,1,0,EU,EU
1584,PD,FRS,1,0,EU,EU
2340,MSP,RCK,2,1,EU,EU
2352,TG,WG,2,0,,EU
2337,NVO,RGN,2,0,,EU
2299,RBG,CLB,0,2,US,US
2357,Ex Nihilo,CK,2,0,EU,EU
2353,Ex Nihilo,PHX,2,0,EU,EU
1658,CJB,JAG,1,1,KR,KR
1656,CJB,KTA,0,2,KR,KR
1654,CJB,MKZ,2,0,KR,KR
1634,SSW,CJB,3,2,KR,KR
1629,KTA,CJB,1,3,KR,KR
1624,CJB,Xenics Storm,2,0,KR,KR
1620,CJB,IMiracle,2,0,KR,KR
854,G2,DEU,1,0,EU,
851,DEU,G2,0,1,,EU
12764,IMiracle,JAG,1,2,KR,KR
12341,IMiracle,DW,3,1,KR,KR
11069,IMiracle,CJE,1,2,KR,KR
11064,IMiracle,KT,1,2,KR,KR
11062,IMiracle,SKT,0,2,KR,KR
11058,SBE,IMiracle,0,2,KR,KR
11052,JAG,IMiracle,2,0,KR,KR
11042,ROX,IMiracle,2,0,KR,KR
11032,Anarchy,IMiracle,0,2,,KR
11030,IMiracle,SSG,0,2,KR,KR
2407,IMiracle,ROX,0,2,KR,KR
2402,IMiracle,CJE,0,2,KR,KR
2400,SSG,IMiracle,2,0,KR,KR
2396,SKT,IMiracle,2,0,KR,KR
2389,IMiracle,SBE,2,1,KR,KR
